fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence,locality_match
22821034000545,22818034000048,"81A,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19D/H/20,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",91.63,pin_700006,81A,,False,False
22821034000545,22820034000096,"81A,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19D/H/8,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",92.0,pin_700006,81A,,False,False
22821034000545,22821034000288,"81A,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19D/H/10,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",91.63,pin_700006,81A,,False,False
22821034000545,22820034000222,"81A,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19K/H/36,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",91.63,pin_700006,81A,,False,False
22822034000410,22821036000025,"B/19B/H/2 GOABAGAN STREET, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","19, JORABAGAN STREET, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",90.16,pin_700006,,19,False,False
22821034000034,22820034000157,"6/1, DUTTA PARA LANE, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","P-9 DALIMTOLA LANE, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",90.32,pin_700006,6/1,,False,False
22821034000238,22820034000167,"85/1,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19E/H/6,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",92.43,pin_700006,85/1,,False,False
22821034000238,22818034000048,"85/1,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19D/H/20,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",92.06,pin_700006,85/1,,False,False
22821034000238,22820034000096,"85/1,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19D/H/8,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",92.43,pin_700006,85/1,,False,False
22821034000238,22821034000288,"85/1,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19D/H/10,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",92.06,pin_700006,85/1,,False,False
22821034000238,22820034000222,"85/1,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19K/H/36,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",92.06,pin_700006,85/1,,False,False
22823034000271,22820034000157,"16, DALIMTALA LANE , BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","P-9 DALIMTOLA LANE, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",92.97,pin_700006,16,,False,False
22820034000157,22822034000012,"P-9 DALIMTOLA LANE, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","3 IMAMBAKSH LANE, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",90.11,pin_700006,,3,False,False
22820034000157,22819034000452,"P-9 DALIMTOLA LANE, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","18/3A DALIMTALA LANE , BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",91.98,pin_700006,,18/3A,False,False
12825019000105,12822019000763,"B/1/H/32,RAMESH DUTT STREET,KOLKATA 700006,WARD-026,BR-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","9B,BROJA DULAL STREET,KOLKATA 700006,WARD-024,BR-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",90.52,pin_700006,,9B,False,False
22818019009387,22822037000503,"P210 STRAND BANK ROAD WORD NO -45, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007","44 STAND ROAD WARD NO-42, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007",90.73,pin_700007,,44,False,False
22821036000563,22821036000798,"2, GANPAT BAGLA ROAD, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007","B/3 JAGGANATH GHAT ROAD, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007",90.05,pin_700007,2,,False,False
22823036000398,22822036000255,"4, VIVEKANANDA ROAD, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007","Ground Floor, 37, VIVEKANAND ROAD, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007",91.0,pin_700007,4,,False,False
22822036000041,12822019001887,"18 SIR HARIRAM GOENKA STREET, KOLKATA-700007, WARD-23, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007","P-7, KALAKAR STREET, WARD-23, KOLKATA-700007, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007",90.61,pin_700007,18,,False,False
22822036000255,22825036000111,"Ground Floor, 37, VIVEKANAND ROAD, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007","39, VIVEKANANDA ROAD, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007",91.54,pin_700007,,39,False,False
22821035000587,22819035000037,"B/29A/H/8 CHAULPATTI ROAD, WARD NO-34, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010","B/29A/H/1 CHAULPATI ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010",91.94,pin_700010,,,False,False
22823035000058,22819035000037,"B/29A/H/8, CHAULPATTY ROAD, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010","B/29A/H/1 CHAULPATI ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010",96.0,pin_700010,,,False,False
22823035000126,22819035000037,"B/29A/H/7, CHAULPATTI ROAD, WARD NO-34, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010","B/29A/H/1 CHAULPATI ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010",91.51,pin_700010,,,False,False
22823035000210,22819035000037,"27B CHAULPATTY ROAD, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010","B/29A/H/1 CHAULPATI ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010",90.16,pin_700010,27B,,False,False
22819035000037,22823035000115,"B/29A/H/1 CHAULPATI ROAD, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010","B/12A/H/26, CHAULPATTI ROAD, WARD NO-34, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010",90.14,pin_700010,,,False,False
