fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence
22820038000215,22825038000167,"74/A, S. N. BANERJEE ROAD, WARD- 53, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","74 A SURENDRA NATH BANERJEE ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.23,pin_700014,74,74,True
22824038000290,22826038000079,"32H/11, SIR SYED AHMED ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/3/H/17 SIR SYED AHAMMED ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.73,pin_700014,32H/11,,False
22819038000480,22826038000105,"11A,DR SURESH SARKAR ROAD,KOLKATA 700014,WARD-054,BR-VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","11A DR SURESH SARKAR ROAD,KOLKATA 700014,WARD-054, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",95.24,pin_700014,11A,11A,True
22824038000308,22826038000079,"36/A AND B SIR SYED AHMED ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/3/H/17 SIR SYED AHAMMED ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.35,pin_700014,36,,False
22821038000828,22821038000052,"B/46/H/6, HARE KRISHNA KONAR ROAD, GROUND FLOOR, KOLKATA 700014, WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/46/H/4, HARE KRISHNA KONAR ROAD, GROUND FLOOR , KOLKATA 700014, WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",98.37,pin_700014,,,False
22821038000828,22821038000044,"B/46/H/6, HARE KRISHNA KONAR ROAD, GROUND FLOOR, KOLKATA 700014, WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","60/3, HARE KRISHNA KONAR ROAD, GROUND FLOOR, KOLKATA 700014,WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.69,pin_700014,,60/3,False
22821038000828,12824019001839,"B/46/H/6, HARE KRISHNA KONAR ROAD, GROUND FLOOR, KOLKATA 700014, WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","19/2, HARE KRISHNA KONAR ROAD, GROUND FLOOR, KOLKATA 700014, WARD 060 BR VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.34,pin_700014,,19/2,False
22821038000138,22821038000133,"156 ACHARYYA JAGADISH BOSE ROAD, ENTALLY MARKET, ST. NO. CH(P) 40, GROUND FLOOR, WARD NO. 054, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","156 ACHARYYA JAGADISH BOSE ROAD, ENTALLY MARKET, ST. NO. CH(P) 48, GROUND FLOOR, WARD NO. 054, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",99.4,pin_700014,156,156,True
22821038000138,22823038000247,"156 ACHARYYA JAGADISH BOSE ROAD, ENTALLY MARKET, ST. NO. CH(P) 40, GROUND FLOOR, WARD NO. 054, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","156 ACHARYYA JAGADISH BOSE ROAD, ENTALLY MARKET, ST. NO. 38, GROUND FLOOR, WARD NO. 054, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",96.95,pin_700014,156,156,True
22821038000138,22822038000637,"156 ACHARYYA JAGADISH BOSE ROAD, ENTALLY MARKET, ST. NO. CH(P) 40, GROUND FLOOR, WARD NO. 054, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","156 ACHARYYA JAGADISH BOSE ROAD, ENTALLY MARKET, ST. NO. MB (P) 9 GROUND FLOOR, WARD NO. 054, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",94.29,pin_700014,156,156,True
